Name,URL,Cuisines,Area,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,AverageCost,,,2427,0
Andhra Gunpowder,https://www.zomato.com/Chennai/andhra0gunpowder0jeevan0bhima0nagar0Chennai,"Biryani, South Indian, Desserts, Beverages","Jeevan Bhima Nagar, Chennai",0,0,4.2,10400,200,,,,
Nandhini Deluxe,https://www.zomato.com/Chennai/nandhini0deluxe0frazer0town,"Andhra, Biryani, Chinese, North Indian, Mughlai, Desserts, Beverages","Frazer Town, Chennai",3.8,459,4,4988,700,,,,
Kanti Sweets,https://www.zomato.com/Chennai/kanti0sweets0thippasandra0Chennai,"Mithai, Street Food, Desserts","Thippasandra, Chennai",0,0,4.1,1362,50,,,,
Dindigul Thalappakatti,https://www.zomato.com/Chennai/dindigul0thalappakatti0indiranagar0Chennai,"Biryani, North Indian, South Indian, Chinese, Beverages","Indiranagar, Chennai",4.2,722,3.8,5687,400,,,,
Five Star Chicken,https://www.zomato.com/Chennai/five0star0chicken0120kr0puram0Chennai,"Wraps, Burger, Rolls, Fast Food, Street Food","KR Puram, Chennai",0,0,3.9,609,100,,,,
Kritunga Restaurant,https://www.zomato.com/Chennai/kritunga0restaurant0marathahalli,"Andhra, Biryani, North Indian","Marathahalli, Chennai",4,1699,3.8,19000,800,,,,
Donne Biriyani House,https://www.zomato.com/Chennai/donne0biriyani0house0shanti0nagar0Chennai,"Biryani, Fast Food","Shanti Nagar, Chennai",3.4,7,3.9,925,400,,,,
Kabab Magic,https://www.zomato.com/Chennai/kabab0magic0richmond0road0Chennai,"North Indian, Kebab, Hyderabadi, Beverages","Richmond Road, Chennai",3.8,139,3.3,2743,400,,,,
Polar Bear,https://www.zomato.com/Chennai/polar0bear0thippasandra0Chennai,"Ice Cream, Beverages, Shake","Thippasandra, Chennai",3.7,43,4.3,970,350,,,,
Biriyani Zone,https://www.zomato.com/Chennai/biriyani0zone0cv0raman0nagar0Chennai,"Biryani, North Indian, Chinese, Mughlai, Kebab, Seafood, Ice Cream, Beverages","CV Raman Nagar, Chennai",3.6,67,4,2559,800,,,,
Paradise Biryani,https://www.zomato.com/Chennai/paradise0biryani0hsr0Chennai,"Biryani, North Indian, Kebab","HSR, Chennai",3.7,326,3.8,4583,700,,,,
Hyderabad Biryaani House,https://www.zomato.com/Chennai/hyderabad0biryaani0house0airport0road,"Biryani, North Indian, Hyderabadi, Mughlai, Chinese","Old Airport Road, Chennai",4.2,1416,4,25100,500,,,,
Anand Sweets And Savouries,https://www.zomato.com/Chennai/anand0sweets0and0savouries0airport0road0Chennai,"Mithai, Street Food, Desserts, Beverages","Old Airport Road, Chennai",4,277,4.4,3068,300,,,,
Subway,https://www.zomato.com/Chennai/subway0indiranagar,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps","Indiranagar, Chennai",2,311,3.6,1741,400,,,,
Sri Udupi Food Hub,https://www.zomato.com/Chennai/sri0udupi0food0hub0domlur0Chennai,"South Indian, North Indian, Chinese, Street Food, Ice Cream, Desserts, Shake, Beverages","Domlur, Chennai",3.7,151,3.9,16200,800,,,,
Corner House Ice Creams,https://www.zomato.com/Chennai/corner0house0ice0creams0indiranagar0Chennai,"Desserts, Ice Cream, Beverages","Indiranagar, Chennai",4.8,2408,4.5,16100,300,,,,
Behrouz Biryani,https://www.zomato.com/Chennai/behrouz0biryani0indiranagar0Chennai,"Biryani, Mughlai","Indiranagar, Chennai",0,0,3.9,3663,350,,,,
MOJO Pizza 0 2X Toppings,https://www.zomato.com/Chennai/mojo0pizza02x0toppings0indiranagar0Chennai,"Pizza, Fast Food, Desserts, Beverages","Indiranagar, Chennai",0,0,4.3,8486,250,,,,
EatFit,https://www.zomato.com/Chennai/eatfit0indiranagar0Chennai,"Mithai, North Indian, Pizza, Burger, Fast Food, Street Food, Desserts, Beverages","Indiranagar, Chennai",0,0,4,76500,200,,,,
Amma's Pastries,https://www.zomato.com/Chennai/ammas0pastries0indiranagar,Bakery,"Indiranagar, Chennai",0,0,4.4,551,100,,,,
Sharief Bhai,https://www.zomato.com/Chennai/sharief0bhai0indiranagar0Chennai,"Mughlai, Arabian, Afghan, Biryani, Kebab, Street Food, Beverages","Indiranagar, Chennai",3.9,159,3.9,5537,800,,,,
Beijing Bites,https://www.zomato.com/Chennai/beijing0bites0indiranagar0Chennai,"Chinese, Thai, Seafood, Healthy Food","Indiranagar, Chennai",3.2,22,4,456,800,,,,
Imperial Restaurant,https://www.zomato.com/Chennai/imperial0restaurant0indiranagar,"Mughlai, North Indian, Biryani, Chinese, Seafood, Ice Cream, Desserts, Beverages","Indiranagar, Chennai",3.8,313,3.9,6489,700,,,,
WOW! Momo,https://www.zomato.com/Chennai/wow0momo0indiranagar0Chennai,"Momos, Fast Food, Tibetan","Indiranagar, Chennai",0,0,4.2,1400,200,,,,
Al Daaz,https://www.zomato.com/Chennai/al0daaz0hsr,"North Indian, Continental, BBQ, Fast Food, Beverages","HSR, Chennai",4.2,1523,4.3,63500,800,,,,
New Udupi Grand,https://www.zomato.com/Chennai/new0udupi0grand0jeevan0bhima0nagar0Chennai,"South Indian, North Indian, Chinese, Street Food, Beverages, Shake","Jeevan Bhima Nagar, Chennai",2.9,12,3.9,3184,300,,,,
Anjappar,https://www.zomato.com/Chennai/anjappar0indiranagar,"Chettinad, Biryani, Chinese, Seafood, South Indian, Mughlai, North Indian, Desserts","Indiranagar, Chennai",3.9,852,3.9,2759,800,,,,
Barbeque Nation,https://www.zomato.com/Chennai/barbeque0nation0indiranagar,"BBQ, Mughlai, Biryani, North Indian, Desserts, Beverages","Indiranagar, Chennai",4.6,12900,3.6,1911,1600,,,,
Faasos 0 Wraps & Rolls,https://www.zomato.com/Chennai/faasos0wraps0rolls0indiranagar0Chennai,"North Indian, Desserts, Wraps, Beverages","Indiranagar, Chennai",0,0,3.8,6138,200,,,,
Kwality Wall’s Frozen Dessert and Ice Cream Shop,https://www.zomato.com/Chennai/kwality0walls0frozen0dessert0and0ice0cream0shop020indiranagar0Chennai,Ice Cream,"Indiranagar, Chennai",0,0,4.3,82,100,,,,
CakeZone,https://www.zomato.com/cakeszone,"Bakery, Desserts","Domlur, Chennai",0,0,4,5068,300,,,,
Hari Super Sandwich,https://www.zomato.com/Chennai/hari0super0sandwich0brigade0road0Chennai,"Fast Food, Sandwich, Street Food","Brigade Road, Chennai",3.2,13,3.6,859,200,,,,
Kapoor's Cafe,https://www.zomato.com/Chennai/kapoors0cafe0kalyan0nagar,"North Indian, Beverages, Desserts","Kalyan Nagar, Chennai",4.2,731,3.9,3021,700,,,,
Sardarji Londonwaley,https://www.zomato.com/Chennai/sardarji0londonwaley0thippasandra0Chennai,"North Indian, Chinese","Thippasandra, Chennai",0,0,3.7,4831,150,,,,
La Pino'z Pizza,https://www.zomato.com/Chennai/la0pinoz0pizza0indiranagar0Chennai,"Pizza, Fast Food","Indiranagar, Chennai",3.7,2,4.1,100,500,,,,
Potful 0 Claypot Biryanis,https://www.zomato.com/Chennai/potful0claypot0biryanis0thippasandra0Chennai,"Biryani, Kebab, Mughlai, North Indian, Desserts, Beverages","Thippasandra, Chennai",0,0,4.2,1485,300,,,,
Lassi Shop,https://www.zomato.com/Chennai/lassi0shop0jeevan0bhima0nagar,"Fast Food, Ice Cream, Desserts, Shake, Beverages","Jeevan Bhima Nagar, Chennai",0,0,4.2,4083,100,,,,
California Burrito,https://www.zomato.com/Chennai/california0burrito0indiranagar,"Mexican, Fast Food, Beverages, Desserts","Indiranagar, Chennai",4.1,411,4.2,6910,500,,,,
Paratha Envy,https://www.zomato.com/Chennai/paratha0envy0thippasandra0Chennai,North Indian,"Thippasandra, Chennai",0,0,4.3,6687,150,,,,
Glen's Bakehouse,https://www.zomato.com/Chennai/glens0bakehouse0indiranagar,"Bakery, Italian, Pizza, Sandwich, Street Food, Desserts, Beverages","Indiranagar, Chennai",4.2,5867,4.1,7550,400,,,,
Donne Biriyani House,https://www.zomato.com/Chennai/donne0biriyani0house0kammanahalli0Chennai,"Biryani, South Indian","Kammanahalli, Chennai",0,0,3.7,1860,150,,,,
NIC 0 Natural Ice Creams,https://www.zomato.com/Chennai/nic0natural0ice0creams0indiranagar0Chennai,Ice Cream,"Indiranagar, Chennai",0,0,4.4,1921,100,,,,
Royal Restaurant,https://www.zomato.com/Chennai/royal0restaurant0shivajinagar,"North Indian, Chinese","Shivajinagar, Chennai",4,220,4,19200,200,,,,
New Krishna Sagar,https://www.zomato.com/Chennai/new0krishna0sagar0indiranagar,"South Indian, North Indian, Chinese, Beverages","Indiranagar, Chennai",3.5,80,3.5,8983,350,,,,
Ambur Star Briyani Since 1890,https://www.zomato.com/Chennai/ambur0star0briyani0since018900indiranagar0Chennai,"Biryani, Andhra, Chinese, Beverages","Indiranagar, Chennai",3.2,88,4.3,4210,700,,,,
Call Me Chow,https://www.zomato.com/Chennai/call0me0chow0kalyan0nagar0Chennai,"Chinese, Japanese, Thai, Indonesian, Asian","Kalyan Nagar, Chennai",0,0,4.2,939,200,,,,
Andhra Biryanis,https://www.zomato.com/Chennai/andhra0biryanis0indiranagar0Chennai,"Biryani, Andhra, Chinese, North Indian","Indiranagar, Chennai",0,0,4,2529,250,,,,
Falahaar & Kota Kachori,https://www.zomato.com/Chennai/falahaar0kota0kachori0indiranagar0Chennai,"North Indian, Rajasthani, Fast Food, Street Food, Mithai, Beverages","Indiranagar, Chennai",0,0,3.7,3061,100,,,,
Ludos Pizza,https://www.zomato.com/Chennai/ludos0pizza0indiranagar0Chennai,"Pizza, Desserts","Indiranagar, Chennai",0,0,4,191,200,,,,
WarmOven Cake & Desserts,https://www.zomato.com/Chennai/warmoven0cake0desserts0indiranagar0Chennai,"Bakery, Desserts","Indiranagar, Chennai",0,0,4,11400,350,,,,
LunchBox 0 Meals and Thalis,https://www.zomato.com/Chennai/lunchbox0meals0and0thalis0indiranagar0Chennai,"North Indian, Healthy Food, Beverages, Chinese","Indiranagar, Chennai",0,0,3.5,213,200,,,,
Goli Vada Pav,https://www.zomato.com/Chennai/goli0vada0pav0thippasandra0Chennai,"Street Food, Fast Food, Burger, Ice Cream, Desserts","Thippasandra, Chennai",3.1,1,3.4,65,350,,,,
Meat And Eat,https://www.zomato.com/Chennai/meat0and0eat0domlur,"Burger, Fast Food, Desserts, Beverages, BBQ, Sandwich, Finger Food","Domlur, Chennai",3.3,75,3.8,2009,400,,,,
Adiga's,https://www.zomato.com/Chennai/adigas0indiranagar0Chennai,"South Indian, North Indian, Chinese, Street Food, Desserts, Ice Cream, Beverages","Indiranagar, Chennai",2.8,351,3.9,5088,800,,,,
Rahhams,https://www.zomato.com/Chennai/rahhams0airport0road,"Biryani, Mughlai, North Indian, Kebab, Chinese, Seafood, Rolls, Beverages","Old Airport Road, Chennai",2.4,437,3.6,1603,700,,,,
Great Indian Khichdi,https://www.zomato.com/Chennai/great0indian0khichdi0indiranagar0Chennai,"Healthy Food, Beverages","Indiranagar, Chennai",0,0,4.1,640,150,,,,
Ambur Biryani Point,https://www.zomato.com/Chennai/ambur0biryani0point0koramangala01st0block,"Biryani, Fast Food","Koramangala 1st Block, Chennai",3.3,18,4.3,17500,200,,,,
The Punjabi Rasoi,https://www.zomato.com/Chennai/the0punjabi0rasoi0brookefield0Chennai,"North Indian, Chinese, Mughlai","Brookefield, Chennai",0,0,4,1668,150,,,,
Smoor,https://www.zomato.com/Chennai/smoor020indiranagar0Chennai,"Desserts, Cafe, Pizza, Asian, Thai, Italian, Beverages, Shake","Indiranagar, Chennai",4.6,2129,4.3,4721,900,,,,
Krispy Kreme,https://www.zomato.com/Chennai/krispy0kreme0indiranagar,"Desserts, Beverages","Indiranagar, Chennai",3.9,310,4.2,1918,400,,,,
Savoury Express,https://www.zomato.com/Chennai/savoury0express0jeevan0bhima0nagar0Chennai,"Mughlai, North Indian, Fast Food, Chinese, Desserts, Beverages, Shake","Jeevan Bhima Nagar, Chennai",2.9,69,3.8,4562,800,,,,
Pathaan Sir,https://www.zomato.com/Chennai/pathaan0sir010indiranagar,"Fast Food, Momos, Rolls, Kebab, Juices","Indiranagar, Chennai",2.8,265,4,12900,300,,,,
Biryani By Kilo,https://www.zomato.com/Chennai/biryani0by0kilo0koramangala06th0block0Chennai,"Biryani, Mughlai, Kebab, Hyderabadi","Koramangala 6th Block, Chennai",4,169,4.1,1461,700,,,,
Thalaivars Biryani,https://www.zomato.com/Chennai/thalaivars0biryani0indiranagar0Chennai,"Biryani, South Indian","Indiranagar, Chennai",0,0,4,1469,250,,,,
Big Bowl Company,https://www.zomato.com/Chennai/big0bowl0company0indiranagar0Chennai,"North Indian, Chinese, Biryani, Fast Food, Momos","Indiranagar, Chennai",0,0,3.8,73,200,,,,
Shanthi Sagar,https://www.zomato.com/Chennai/shanthi0sagar0ulsoor,"South Indian, North Indian, Chinese, Beverages, Desserts, Shake","Ulsoor, Chennai",3.8,207,4.2,19100,250,,,,
New Udupi Garden,https://www.zomato.com/Chennai/new0udupi0garden0airport0road0Chennai,"South Indian, North Indian, Beverages, Chinese","Old Airport Road, Chennai",3.5,58,3.9,6603,350,,,,
Cakewala,https://www.zomato.com/Chennai/cakewala0hsr0Chennai,"Bakery, Desserts","HSR, Chennai",0,0,4.2,13600,100,,,,
Baskin Robbins,https://www.zomato.com/Chennai/baskin0robbins0indiranagar0Chennai,"Ice Cream, Desserts, Beverages","Indiranagar, Chennai",0,2,4,269,400,,,,
Chulha Chauki Da Dhaba,https://www.zomato.com/Chennai/chulha0chauki0da0dhaba0marathahalli0Chennai,"North Indian, Biryani, Chinese, Beverages","Marathahalli, Chennai",4.5,2982,4,5034,1000,,,,
Asha Sweet Center,https://www.zomato.com/Chennai/asha0sweet0center0indiranagar0Chennai,"Mithai, Street Food","Indiranagar, Chennai",2.3,5,4.4,1071,400,,,,
Chai Point,https://www.zomato.com/Chennai/chai0point050indiranagar0Chennai,"Tea, North Indian, Fast Food, Street Food, Beverages","Indiranagar, Chennai",2.4,8,3.9,371,400,,,,
Yumlane Pizza,https://www.zomato.com/Chennai/yumlane0pizza0indiranagar0Chennai,"Pizza, Fast Food, Desserts, Beverages","Indiranagar, Chennai",0,0,3.9,1095,250,,,,
Mad Over Donuts,https://www.zomato.com/Chennai/mad0over0donuts010indiranagar0Chennai,"Desserts, Beverages","Indiranagar, Chennai",0,0,3.9,201,100,,,,
Bakingo,https://www.zomato.com/Chennai/bakingo0thippasandra0Chennai,"Bakery, Desserts","Thippasandra, Chennai",0,0,4.3,72,350,,,,
Sattvam,https://www.zomato.com/Chennai/sattvam0whitefield0Chennai,"North Indian, South Indian","Whitefield, Chennai",4.3,402,4,394,1500,,,,
Starbucks Coffee,https://www.zomato.com/Chennai/starbucks0coffee0indiranagar0Chennai,"Coffee, Desserts, Beverages","Indiranagar, Chennai",4.3,662,4.2,417,600,,,,
Madurai Idly Shop,https://www.zomato.com/Chennai/madurai0idly0shop0indiranagar,"South Indian, Chinese","Indiranagar, Chennai",3.7,826,4,2471,300,,,,
Aligarh House,https://www.zomato.com/Chennai/aligarh0house010indiranagar0Chennai,"Biryani, North Indian, Kebab, Desserts, Beverages","Indiranagar, Chennai",0,0,3.9,403,250,,,,
Samosa Party,https://www.zomato.com/Chennai/samosa0party010jeevan0bhima0nagar,"Fast Food, Beverages, Burger, Tea","Jeevan Bhima Nagar, Chennai",4.1,385,4.1,3967,200,,,,
Delicacy,https://www.zomato.com/Chennai/delicacy0frazer0town,"Chinese, Thai","Frazer Town, Chennai",3.8,270,4,7822,500,,,,
Rolls On Wheels,https://www.zomato.com/Chennai/rolls0on0wheels0indiranagar,"Rolls, Chinese, North Indian","Indiranagar, Chennai",3,85,4.2,1528,300,,,,
Laddoos,https://www.zomato.com/Chennai/laddoos0jeevan0bhima0nagar,"Mithai, North Indian, Beverages, Fast Food, Street Food, Desserts","Jeevan Bhima Nagar, Chennai",2.9,202,3.9,3338,300,,,,
Chinese Wok 0 Wok Express,https://www.zomato.com/Chennai/chinese0wok0wok0express0indiranagar0Chennai,"Momos, Chinese","Indiranagar, Chennai",0,0,3.5,150,200,,,,
The Biryani Life,https://www.zomato.com/Chennai/the0biryani0life0indiranagar0Chennai,"Fast Food, North Indian, Desserts, Beverages","Indiranagar, Chennai",0,0,3.4,220,250,,,,
Peetuk,https://www.zomato.com/Chennai/peetuk0domlur0Chennai,"Bengali, Biryani, Rolls","Domlur, Chennai",0,0,3.8,1434,200,,,,
Ghee And Turmeric,https://www.zomato.com/Chennai/ghee0and0turmeric0indiranagar0Chennai,"North Indian, Mughlai","Indiranagar, Chennai",0,0,4,486,350,,,,
The Hangout,https://www.zomato.com/Chennai/the0hangout0mg0road0Chennai,"Pizza, Burger, Fast Food, Sandwich, Rolls","MG Road, Chennai",3,1,2.9,45,300,,,,
Magnolia Bakery,https://www.zomato.com/Chennai/magnolia0bakery0indiranagar0Chennai,"Bakery, Desserts","Indiranagar, Chennai",4.2,852,4.4,3391,300,,,,
