Name,URL,Cuisines,Area,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,AverageCost,,,2427,0
Divyasree Andhra Style Hotel,https://www.zomato.com/Chennai/divyasree0andhra0style0hotel0cv0raman0nagar0Chennai,Andhra,"CV Raman Nagar, Chennai",3.9,9,3.9,215,250,,,,
Chandni Chowk,https://www.zomato.com/Chennai/chandni0chowk0marathahalli0Chennai,"Street Food, North Indian, Mithai","Marathahalli, Chennai",0,0,4.1,179,150,,,,
Delhi Highway,https://www.zomato.com/Chennai/delhi0highway0indiranagar,"North Indian, Chinese, Street Food, Desserts, Beverages","Indiranagar, Chennai",4.4,4916,3.8,3716,1500,,,,
Andhra Spice Hub,https://www.zomato.com/Chennai/andhra0spice0hub0brookefield0Chennai,"Andhra, Biryani","Brookefield, Chennai",0,0,3.3,20,700,,,,
Chaishala0Chuski Chaiwali,https://www.zomato.com/Chennai/chaishala0chuski0chaiwali0whitefield0Chennai,"Fast Food, Ice Cream, Beverages","Whitefield, Chennai",0,2,4.4,259,300,,,,
Jessore Local,https://www.zomato.com/Chennai/jessore0local0kaggadasapura0Chennai,Bengali,"Kaggadasapura, Chennai",0,0,3.8,261,200,,,,
Madurai Kari Dosa,https://www.zomato.com/Chennai/madurai0kari0dosa010indiranagar0Chennai,"Andhra, South Indian, Beverages, North Indian","Indiranagar, Chennai",2.9,7,3.3,48,500,,,,
Mystique Palate Kundalahalli,https://www.zomato.com/Chennai/mystique0palate0kundalahalli0brookefield0Chennai,"Chinese, Tibetan, Fast Food, Italian","Brookefield, Chennai",4,59,3.9,845,550,,,,
Magic Momos,https://www.zomato.com/Chennai/magic0momos0whitefield0Chennai,"Chinese, Momos","Whitefield, Chennai",0,0,4.2,405,150,,,,
Chai Corner,https://www.zomato.com/Chennai/chai0corner0jeevan0bhima0nagar0Chennai,"Tea, Fast Food","Jeevan Bhima Nagar, Chennai",0,0,3.8,516,150,,,,
The Tandoori Oven,https://www.zomato.com/Chennai/the0tandoori0oven0brookefield0Chennai,"Chinese, North Indian","Brookefield, Chennai",0,0,3.8,189,100,,,,
Kilo Paradise Biriyani,https://www.zomato.com/Chennai/kilo0paradise0biriyani0marathahalli0Chennai,"Biryani, Mughlai","Marathahalli, Chennai",0,0,3.2,269,250,,,,
Ambur Hot Dum Biryani,https://www.zomato.com/Chennai/ambur0hot0dum0biryani0bellandur0Chennai,"North Indian, Chinese","Bellandur, Chennai",0,0,3.2,51,100,,,,
Kudla Craves,https://www.zomato.com/Chennai/kudla0craves0thippasandra0Chennai,"Desserts, Ice Cream, Beverages, Shake","Thippasandra, Chennai",3.8,7,4,42,400,,,,
Chef's Cap,https://www.zomato.com/Chennai/chefs0cap010airport0road0Chennai,Chinese,"Old Airport Road, Chennai",0,0,4.1,6765,200,,,,
Sai Aruna,https://www.zomato.com/Chennai/sai0aruna0brookefield0Chennai,"Hyderabadi, North Indian, Biryani, Beverages, Chinese","Brookefield, Chennai",0,0,3.8,22,250,,,,
God Of Tandoors,https://www.zomato.com/Chennai/god0of0tandoors0kadubeesanahalli0Chennai,"North Indian, Biryani, Mughlai, Fast Food, Kebab, Desserts","Kadubeesanahalli, Chennai",0,0,3.7,799,200,,,,
Karim's 0 Original From Delhi 6 Jama Masjid,https://www.zomato.com/Chennai/karims0original0from0delhi060jama0masjid0marathahalli0Chennai,"Mughlai, North Indian, Rolls, Desserts, Beverages","Marathahalli, Chennai",3.7,6,3.8,213,1000,,,,
Khadhar Dum Biryani,https://www.zomato.com/Chennai/khadhar0dum0biryani0kaggadasapura0Chennai,"Biryani, North Indian, Fast Food","Kaggadasapura, Chennai",0,1,3.1,48,400,,,,
Swapnapuri  Bengali Restaurant,https://www.zomato.com/Chennai/swapnapuri0bengali0restaurant0brookefield0Chennai,"North Indian, Bengali, Chinese, Mughlai, Seafood","Brookefield, Chennai",3.9,4,3.7,46,400,,,,
Toscano's Crafted Cakes & Desserts,https://www.zomato.com/Chennai/toscanos0crafted0cakes0desserts0whitefield0Chennai,"Desserts, Bakery","Whitefield, Chennai",0,0,4.1,61,300,,,,
The Bong Tikka Connection,https://www.zomato.com/Chennai/the0bong0tikka0connection0whitefield0Chennai,"Bengali, North Indian","Whitefield, Chennai",3.8,28,4.1,555,400,,,,
Yo Snacko,https://www.zomato.com/Chennai/yo0snacko0kaggadasapura0Chennai,"Burger, Fast Food, Beverages, Shake","Kaggadasapura, Chennai",3.3,52,4,463,250,,,,
Iyengars Bread Basket,https://www.zomato.com/Chennai/iyengars0bread0basket0brookefield0Chennai,"Bakery, Desserts, Fast Food","Brookefield, Chennai",0,0,3.6,935,100,,,,
Khane Ka Khazana,https://www.zomato.com/Chennai/khane0ka0khazana0marathahalli0Chennai,"North Indian, Rolls, Fast Food","Marathahalli, Chennai",3.3,40,3.6,1105,300,,,,
Momo's Corner,https://www.zomato.com/Chennai/momos0corner0indiranagar0Chennai,"Rolls, Chinese, Momos","Indiranagar, Chennai",3.9,67,4.1,821,300,,,,
Jade,https://www.zomato.com/Chennai/jade0varthur0main0road0whitefield0Chennai,"Chinese, Seafood","Varthur Main Road, Whitefield, Chennai",3.8,701,4,1552,750,,,,
UTHRA,https://www.zomato.com/Chennai/uthra0indiranagar0Chennai,North Indian,"Indiranagar, Chennai",3.9,149,3.8,124,800,,,,
Jhanhavi Restaurant,https://www.zomato.com/Chennai/jhanhavi0restaurant0marathahalli,"North Indian, Chinese, South Indian, Biryani, Shake","Marathahalli, Chennai",2.9,87,3.4,6077,400,,,,
Yauatcha,https://www.zomato.com/Chennai/yauatcha0mg0road,"Chinese, Asian, Seafood","1 MG Road Mall, MG Road, Chennai",4.7,2933,4.1,175,2000,,,,
World On A Swirl,https://www.zomato.com/Chennai/world0on0a0swirl0indiranagar0Chennai,"Ice Cream, Desserts, Momos, Beverages","Indiranagar, Chennai",0,0,3.9,683,200,,,,
Rekha Restaurant,https://www.zomato.com/Chennai/rekha0restaurant0brookefield,"North Indian, Chinese, Kerala, Beverages","Brookefield, Chennai",3.2,119,4,1307,400,,,,
Infinitea Tea Room & Tea Store,https://www.zomato.com/Chennai/infinitea0tea0room0tea0store0indiranagar0Chennai,"Italian, European, Healthy Food, Seafood, Desserts, Tea, Shake","Indiranagar, Chennai",4.3,798,3.9,281,1300,,,,
Chili's American Grill & Bar,https://www.zomato.com/Chennai/chilis0american0grill0bar0bellandur,"American, Tex0Mex, Burger, BBQ, Beverages","RMZ Ecoworld, Bellandur, Chennai",4.4,2550,3.9,1001,2000,,,,
Morning Vibes,https://www.zomato.com/Chennai/morning0vibes0marathahalli0Chennai,North Indian,"Marathahalli, Chennai",0,0,4,263,100,,,,
HOMMS,https://www.zomato.com/Chennai/homms0brookefield0Chennai,"Thai, Chinese, Momos","Brookefield, Chennai",4.3,448,4,17100,500,,,,
Sonar Bangla,https://www.zomato.com/Chennai/sonar0bangla0varthur0main0road0whitefield0Chennai,"Chinese, Bengali","Varthur Main Road, Whitefield, Chennai",3.1,43,3.8,1024,500,,,,
T4Chai,https://www.zomato.com/Chennai/t4chai010marathahalli0Chennai,"Street Food, Fast Food, Beverages, Sandwich","Marathahalli, Chennai",3.5,27,3.7,249,300,,,,
Dhaba Downtown,https://www.zomato.com/Chennai/dhaba0downtown0whitefield0Chennai,"North Indian, Chinese","Whitefield, Chennai",0,0,3.8,455,250,,,,
Skoosh Bubble Tea,https://www.zomato.com/Chennai/skoosh0bubble0tea0marathahalli0Chennai,Beverages,"Marathahalli, Chennai",0,0,3.4,14,100,,,,
Dal Roti,https://www.zomato.com/Chennai/dal0roti0bellandur0Chennai,North Indian,"Bellandur, Chennai",0,0,3.8,3,100,,,,
Ohh Kolkata,https://www.zomato.com/Chennai/ohh0kolkata0brookefield0Chennai,Bengali,"Brookefield, Chennai",0,0,3.6,84,300,,,,
US Pizza,https://www.zomato.com/Chennai/us0pizza0brookefield0Chennai,"Pizza, Pasta, Fast Food, Desserts, Beverages","Brookefield, Chennai",0,0,3.6,134,50,,,,
Lotus Hotel,https://www.zomato.com/Chennai/lotus0hotel0marathahalli0Chennai,"Korean, Momos, Rolls","Marathahalli, Chennai",0,0,3.3,92,350,,,,
Litti House,https://www.zomato.com/Chennai/litti0house0marathahalli0Chennai,"North Indian, Bihari, Beverages","Marathahalli, Chennai",3.9,2,2.8,144,600,,,,
Bakery By Foodhall,https://www.zomato.com/Chennai/bakery0by0foodhall0mg0road0Chennai,"Bakery, Desserts, Panini, Mexican, American","1 MG Road Mall, MG Road, Chennai",0,0,4.3,58,150,,,,
QB's Restaurant,https://www.zomato.com/Chennai/qbs0restaurant0kaggadasapura0Chennai,"South Indian, Chinese, Biryani","Kaggadasapura, Chennai",0,1,3.6,92,300,,,,
The Twenty Handmade Chocolates,https://www.zomato.com/Chennai/the0twenty0handmade0chocolates0marathahalli0Chennai,Desserts,"Marathahalli, Chennai",0,0,4.3,64,200,,,,
Yo! Chow,https://www.zomato.com/Chennai/yo0chow0marathahalli0Chennai,"Asian, Chinese, Beverages, Desserts","Marathahalli, Chennai",4.3,2266,4,22700,1200,,,,
Kelvin Scale 0 Natural Ice Creams and Waffle,https://www.zomato.com/Chennai/kelvin0scale0natural0ice0creams0and0waffle0marathahalli0Chennai,"Desserts, Ice Cream, Beverages, Shake","Marathahalli, Chennai",3,5,3.7,44,400,,,,
The Chennai Creamery,https://www.zomato.com/Chennai/the0Chennai0creamery0indiranagar0Chennai,"Ice Cream, Desserts, Beverages, Shake, Waffle","Indiranagar, Chennai",0,0,4.1,772,150,,,,
The Chaap Factory,https://www.zomato.com/Chennai/the0chaap0factory0marathahalli0Chennai,"North Indian, Chinese","Marathahalli, Chennai",0,0,3.5,229,200,,,,
Banarasi Tadka,https://www.zomato.com/Chennai/banarasi0tadka0jeevan0bhima0nagar,"North Indian, Street Food","Jeevan Bhima Nagar, Chennai",2.6,27,3.5,386,200,,,,
Tandoor Box,https://www.zomato.com/Chennai/tandoor0box0whitefield,"Fast Food, North Indian, Rolls","Whitefield, Chennai",0,0,3.8,1601,250,,,,
Waffle Magic,https://www.zomato.com/Chennai/waffle0magic0indiranagar,"Fast Food, Desserts, Sandwich, Shake, Beverages","Indiranagar, Chennai",4.1,622,4.4,1652,500,,,,
Chiness Food Corner(CFC),https://www.zomato.com/Chennai/chiness0food0corner0cfc0brookefield0Chennai,Chinese,"Brookefield, Chennai",3.3,23,3.5,56,250,,,,
Mani's Hyderabadi Biryani,https://www.zomato.com/Chennai/manis0hyderabadi0biryani0marathahalli0Chennai,"Biryani, North Indian, Chinese","Marathahalli, Chennai",0,0,3.3,200,400,,,,
Harvi's Creamistry,https://www.zomato.com/Chennai/harvis0creamistry0kadubeesanahalli0Chennai,Beverages,"Kadubeesanahalli, Chennai",3.9,8,4,69,300,,,,
Reddy's Veg & Non Veg,https://www.zomato.com/Chennai/reddys0veg0non0veg0marathahalli0Chennai,"South Indian, Chinese","Marathahalli, Chennai",0,2,3.6,26,150,,,,
Millet Express,https://www.zomato.com/Chennai/millet0express0bellandur0Chennai,"South Indian, Street Food, North Indian, Biryani, Juices","Bellandur, Chennai",0,0,3.7,67,100,,,,
Sri Gokulam Hot Chips,https://www.zomato.com/Chennai/sri0gokulam0hot0chips0kaggadasapura0Chennai,Street Food,"Kaggadasapura, Chennai",0,0,3.8,91,100,,,,
Kosta Spice 0 Tiffin | Meals | Tea | Snacks,https://www.zomato.com/Chennai/kosta0spice0tiffin0meals0tea0snacks0bellandur0Chennai,"Biryani, South Indian, Andhra, Chinese, North Indian","Bellandur, Chennai",0,1,3.4,175,350,,,,
2 Scoops Of Happiness ,https://www.zomato.com/Chennai/20scoops0of0happiness010cv0raman0nagar0Chennai,"Desserts, Ice Cream, Beverages, Fast Food, Shake","CV Raman Nagar, Chennai",0,2,3.8,96,300,,,,
Meal@79,https://www.zomato.com/Chennai/meal@790brookefield0Chennai,"North Indian, Chinese","Brookefield, Chennai",0,0,3.4,12,250,,,,
Sabari Cafe,https://www.zomato.com/Chennai/sabari0cafe0jeevan0bhima0nagar0Chennai,"Burger, Fast Food, Beverages, Shake","Jeevan Bhima Nagar, Chennai",3.8,4,4,33,300,,,,
Aromas Of China,https://www.zomato.com/Chennai/aromas0of0china0marathahalli0Chennai,Chinese,"Marathahalli, Chennai",0,0,3.7,14,250,,,,
Hyderabadi Bawarchi,https://www.zomato.com/Chennai/hyderabadi0bawarchi0marathahalli0Chennai,"Biryani, Kebab, Hyderabadi","Marathahalli, Chennai",0,0,3.3,33,250,,,,
Bologna,https://www.zomato.com/Chennai/bologna0indiranagar0Chennai,"Italian, Desserts, Beverages","Indiranagar, Chennai",4.8,1542,4.2,344,1600,,,,
S S Popular Frozen Stone,https://www.zomato.com/Chennai/s0s0popular0frozen0stone0bellandur0Chennai,"Beverages, Ice Cream, Sandwich, Fast Food, Shake","Bellandur, Chennai",3,34,3.9,3253,250,,,,
The Pallet,https://www.zomato.com/Chennai/the0pallet020whitefield0Chennai,"Finger Food, North Indian, Continental, Chinese, Italian, Beverages, Bar Food","Whitefield, Chennai",4.4,6248,3.9,1878,1600,,,,
Ghar Da Swaad,https://www.zomato.com/Chennai/ghar0da0swaad0bellandur0Chennai,"North Indian, Chinese","Bellandur, Chennai",0,0,3.8,584,150,,,,
Vijay Kitchen,https://www.zomato.com/Chennai/vijay0kitchen0brookefield0Chennai,"Andhra, Chinese, Biryani, Mughlai, Seafood, North Indian, South Indian","Brookefield, Chennai",3.5,20,3.8,130,400,,,,
Qissa ,https://www.zomato.com/Chennai/qissa0indiranagar0Chennai,"Arabian, Fast Food, Desserts, Beverages","Indiranagar, Chennai",3.9,50,3.8,626,600,,,,
Vinayaka Sugar Cane Fresh Juices & Sandwiches,https://www.zomato.com/Chennai/vinayaka0sugar0cane0fresh0juices0sandwiches0kadubeesanahalli0Chennai,"Beverages, Sandwich, Fast Food, Shake","Kadubeesanahalli, Chennai",0,0,3.6,84,100,,,,
Khichdi Kahani,https://www.zomato.com/Chennai/khichdi0kahani0marathahalli0Chennai,"North Indian, Desserts","Marathahalli, Chennai",0,0,2.8,21,300,,,,
Sai Foods,https://www.zomato.com/Chennai/sai0foods0brookefield,"North Indian, Chinese, Fast Food, Street Food, Beverages, Desserts","Brookefield, Chennai",4.1,184,3.6,521,400,,,,
Ambur Hot Dum Biryani,https://www.zomato.com/Chennai/ambur0hot0dum0biryani030marathahalli0Chennai,"Biryani, South Indian","Marathahalli, Chennai",0,1,4.1,85,150,,,,
Oota Chennai,https://www.zomato.com/Chennai/oota0Chennai0whitefield,"Mangalorean, South Indian","Windmills Craftworks, Chennai",4.6,683,4.2,547,1800,,,,
Eddy's Cafe,https://www.zomato.com/Chennai/eddys0cafe0indiranagar0Chennai,"Cafe, American, Salad, Continental, Healthy Food, Italian","Indiranagar, Chennai",4.1,253,3.9,280,800,,,,
Wok Steam & Grills,https://www.zomato.com/Chennai/wok0steam0grills0marathahalli,"Chinese, Fast Food","Marathahalli, Chennai",0,0,3.6,476,200,,,,
U.S. Pizza Restaurant,https://www.zomato.com/Chennai/u0s0pizza0restaurant0airport0road0Chennai,"Pizza, Fast Food, Beverages, Desserts","Old Airport Road, Chennai",3,17,3.5,64,600,,,,
Happy Endings,https://www.zomato.com/Chennai/happy0endings0bellandur,"Bakery, Desserts, Pasta","Bellandur, Chennai",0,0,3.7,3245,100,,,,
Delhi Walle,https://www.zomato.com/Chennai/delhi0walle0marathahalli,"North Indian, Street Food, Chinese, Desserts, Beverages","Marathahalli, Chennai",3.9,573,3.6,3369,400,,,,
Kund Indian Barbeque,https://www.zomato.com/Chennai/kund0indian0barbeque0indiranagar,"North Indian, Mughlai, Kebab","Indiranagar, Chennai",4.2,924,4,593,900,,,,
Santé Spa Cuisine,https://www.zomato.com/Chennai/santé0spa0cuisine0domlur0Chennai,"Mediterranean, Italian, European, Desserts, Beverages, Shake","Domlur, Chennai",4.7,923,4.2,360,1500,,,,
Spice Cuisine Family Restaurant,https://www.zomato.com/Chennai/spice0cuisine0family0restaurant0marathahalli0Chennai,"Biryani, Chinese, Andhra, North Indian","Marathahalli, Chennai",3.3,4,3.4,135,300,,,,
Ocean Cake,https://www.zomato.com/Chennai/ocean0cake0whitefield0Chennai,"Bakery, Shake","Whitefield, Chennai",3.6,39,3.9,143,300,,,,
Andhra Meals,https://www.zomato.com/Chennai/andhra0meals0marathahalli0Chennai,Andhra,"Marathahalli, Chennai",0,0,3.2,19,200,,,,
Juice Therapy,https://www.zomato.com/Chennai/juice0therapy0domlur0Chennai,"Juices, Beverages, Desserts","Domlur, Chennai",0,0,4.2,102,200,,,,
Delhi To Hotel,https://www.zomato.com/Chennai/delhi0to0hotel0marathahalli0Chennai,"North Indian, Chinese","Marathahalli, Chennai",3,19,3.9,2046,350,,,,
Sargam Sweets,https://www.zomato.com/Chennai/sargam0sweets010marathahalli0Chennai,"Mithai, Street Food","Marathahalli, Chennai",3.2,29,3.9,401,200,,,,
Fabcafe By Fabindia,https://www.zomato.com/Chennai/fabcafe0by0fabindia0sarjapur0road0Chennai,"Healthy Food, North Indian, Wraps, Beverages, Salad, Shake","Sarjapur Road, Chennai",3.6,21,3.9,282,1000,,,,
Anjarai Petti,https://www.zomato.com/Chennai/anjarai0petti0marathahalli0Chennai,"South Indian, Chinese, Biryani, Tamil","Marathahalli, Chennai",0,3,3.7,222,400,,,,
Pavratha,https://www.zomato.com/Chennai/pavratha0bellandur0Chennai,"Street Food, North Indian","Bellandur, Chennai",3.7,20,3.1,147,300,,,,
Shaan0e0Punjab,https://www.zomato.com/Chennai/shaan0e0punjab0sarjapur0road0Chennai,"North Indian, Mughlai","Sarjapur Road, Chennai",0,0,4,36,250,,,,
Broadway 0 The Gourmet Theatre,https://www.zomato.com/Chennai/broadway0the0gourmet0theatre0hsr,"Japanese, Sushi, Continental, Asian, North Indian, Desserts, Beverages","HSR, Chennai",4.4,1695,4.2,1423,1800,,,,
Burger Max,https://www.zomato.com/Chennai/burger0max0marathahalli0Chennai,"Fast Food, Burger","Marathahalli, Chennai",0,0,4,212,100,,,,
Yum Yum Kolkata,https://www.zomato.com/Chennai/yum0yum0kolkata010domlur0Chennai,"Bengali, Chinese, Biryani, Fast Food","Domlur, Chennai",0,0,3.9,239,200,,,,
ShakeShack,https://www.zomato.com/Chennai/shakeshack0domlur0Chennai,"Beverages, Shake, Waffle, Ice Cream, Desserts","Domlur, Chennai",0,0,4,22,150,,,,
 Voosh Dakshin,https://www.zomato.com/Chennai/voosh0dakshin0varthur0main0road0whitefield0Chennai,South Indian,"Varthur Main Road, Whitefield, Chennai",0,0,3.7,5,150,,,,
Roti Express,https://www.zomato.com/Chennai/roti0express0marathahalli0Chennai,"North Indian, Chinese, Beverages","Marathahalli, Chennai",0,0,3.7,428,250,,,,
7 Days Restaurants,https://www.zomato.com/Chennai/70days0restaurants0marathahalli0Chennai,"North Indian, Chinese, Mughlai, Biryani","Marathahalli, Chennai",0,0,3.2,25,200,,,,
Cake Hopper,https://www.zomato.com/Chennai/cake0hopper0marathahalli0Chennai,"Bakery, Beverages, Shake","Marathahalli, Chennai",0,0,3.6,195,400,,,,
Malabar Kitchens,https://www.zomato.com/Chennai/malabar0kitchens0marathahalli0Chennai,"North Indian, Chinese, Mangalorean, Biryani","Marathahalli, Chennai",0,0,3.7,110,250,,,,
Singh Da Dhaba,https://www.zomato.com/Chennai/singh0da0dhaba0bellandur0Chennai,"North Indian, Chinese","Bellandur, Chennai",0,0,3.4,211,150,,,,
Isiri Restobar,https://www.zomato.com/Chennai/isiri0restobar0marathahalli0Chennai,"North Indian, Andhra, Continental, Seafood, Mangalorean","Marathahalli, Chennai",4.2,436,3.6,96,1500,,,,
Rotti Mane,https://www.zomato.com/Chennai/rotti0mane0bellandur0Chennai,South Indian,"Bellandur, Chennai",0,1,3.8,111,300,,,,
Aurum Brew Works,https://www.zomato.com/Chennai/aurum0brew0works0sarjapur0road0Chennai,"North Indian, American, Continental, Desserts, Beverages, Asian, Pizza, Burger","Sarjapur Road, Chennai",4.4,2994,4,386,1500,,,,
Nizam's Biryani ,https://www.zomato.com/Chennai/nizams0biryani0marathahalli0Chennai,"Biryani, Kebab","Marathahalli, Chennai",0,0,3,80,300,,,,
New Athidhi Grand ,https://www.zomato.com/Chennai/new0athidhi0grand010kadubeesanahalli0Chennai,"Biryani, Andhra, Chinese, North Indian","Kadubeesanahalli, Chennai",0,0,4,23,200,,,,
Sanatani,https://www.zomato.com/Chennai/sanatani0marathahalli0Chennai,Bengali,"Marathahalli, Chennai",0,0,3.9,244,100,,,,
Sri Vishnu Palace,https://www.zomato.com/Chennai/sri0vishnu0palace0marathahalli0Chennai,"North Indian, South Indian, Chinese, Beverages, Desserts, Street Food, Ice Cream, Shake","Marathahalli, Chennai",2.9,184,4.1,654,450,,,,
Aahar Quick Bites,https://www.zomato.com/Chennai/aahar0quick0bites0cv0raman0nagar0Chennai,"Fast Food, Chinese, North Indian","CV Raman Nagar, Chennai",0,0,4.1,83,150,,,,
The Cake Street ,https://www.zomato.com/Chennai/the0cake0street0kadubeesanahalli0Chennai,"Bakery, Desserts, Beverages, Shake","Kadubeesanahalli, Chennai",0,0,3.7,180,350,,,,
Seven Days Biryani,https://www.zomato.com/Chennai/seven0days0biryani0marathahalli0Chennai,"Mughlai, North Indian, Biryani, Seafood, Chinese, Ice Cream, Juices, Beverages","Marathahalli, Chennai",0,0,3.7,85,250,,,,
Marigold Fine Dine Restaurant,https://www.zomato.com/Chennai/marigold0fine0dine0restaurant0whitefield,"Continental, Chinese, North Indian, Seafood, Mughlai, Biryani, Desserts, Beverages","Whitefield, Chennai",4.1,324,3.4,147,1500,,,,
Passport Of Bejing,https://www.zomato.com/Chennai/passport0of0bejing0kadubeesanahalli0Chennai,"Chinese, Momos","Kadubeesanahalli, Chennai",0,0,3.5,114,150,,,,
Art Of Dum,https://www.zomato.com/Chennai/art0of0dum0indiranagar0Chennai,"North Indian, Biryani, Desserts","Indiranagar, Chennai",0,0,4.4,117,450,,,,
Mahi Food Corner,https://www.zomato.com/Chennai/mahi0food0corner020airport0road0Chennai,"North Indian, Street Food, Fast Food","Old Airport Road, Chennai",0,0,3.7,33,100,,,,
Curry Point's,https://www.zomato.com/Chennai/curry0points0marathahalli0Chennai,"North Indian, Mughlai","Marathahalli, Chennai",0,0,4,32,150,,,,
Yummy Momos,https://www.zomato.com/Chennai/yummy0momos0kaggadasapura0Chennai,"Momos, Chinese, Seafood","Kaggadasapura, Chennai",0,0,4,225,100,,,,
Chettinad  House,https://www.zomato.com/Chennai/chettinad0house0marathahalli0Chennai,"North Indian, Biryani, Chinese, Chettinad","Marathahalli, Chennai",0,0,3.3,6,250,,,,
The Burrito Company,https://www.zomato.com/Chennai/the0burrito0company0brookefield0Chennai,"Mexican, Beverages","Brookefield, Chennai",0,0,4,51,200,,,,
Khati Point,https://www.zomato.com/Chennai/khati0point0marathahalli0Chennai,"North Indian, Chinese, Bihari, Biryani, Lebanese, Fast Food, Street Food, Beverages","Marathahalli, Chennai",0,0,3.1,245,200,,,,
Litti Bhandar,https://www.zomato.com/Chennai/litti0bhandar0marathahalli0Chennai,North Indian,"Marathahalli, Chennai",0,0,3.8,283,150,,,,
The Indian Dhaba,https://www.zomato.com/Chennai/the0indian0dhaba0marathahalli0Chennai,"North Indian, Chinese, Beverages","Marathahalli, Chennai",0,0,3.2,68,200,,,,
Hyderabad Biryani Station,https://www.zomato.com/Chennai/hyderabad0biryani0station0bellandur0Chennai,"Biryani, South Indian, Mughlai","Bellandur, Chennai",0,0,3.3,95,200,,,,
Sri Lakshmi Bhavan,https://www.zomato.com/Chennai/sri0lakshmi0bhavan020marathahalli0Chennai,"Chinese, South Indian","Marathahalli, Chennai",0,3,3.9,99,250,,,,
Wow Kolkata,https://www.zomato.com/Chennai/wow0kolkata0marathahalli0Chennai,"Bengali, Biryani, North Indian, Chinese","Marathahalli, Chennai",0,0,2.9,118,200,,,,
Punjabi Food Joint,https://www.zomato.com/Chennai/punjabi0food0joint0kr0puram0Chennai,"North Indian, Chinese, Biryani","KR Puram, Chennai",3.1,110,3.6,12300,300,,,,
New Surya Sweets & Snacks,https://www.zomato.com/Chennai/new0surya0sweets0snacks0marathahalli0Chennai,"Mithai, Street Food","Marathahalli, Chennai",0,0,4.3,131,50,,,,
Nellore Vaari Andhra Bhojanam And Biryanis,https://www.zomato.com/Chennai/nellore0vaari0andhra0bhojanam0and0biryanis010bellandur0Chennai,"Biryani, South Indian","Bellandur, Chennai",3.1,7,3.6,316,400,,,,
Flamingos Restaurant,https://www.zomato.com/Chennai/flamingos0restaurant0marathahalli0Chennai,"North Indian, Chinese, Mughlai, Beverages, Biryani","Marathahalli, Chennai",3.4,5,3.6,76,500,,,,
The Biryani Grand,https://www.zomato.com/Chennai/the0biryani0grand0brookefield0Chennai,"Hyderabadi, North Indian, Biryani","Brookefield, Chennai",0,0,3.8,21,350,,,,
Lucknowee,https://www.zomato.com/Chennai/lucknowee0thippasandra0Chennai,"Awadhi, Kebab, Lucknowi, Mughlai, Rolls, Biryani, North Indian","Thippasandra, Chennai",0,0,3.5,86,300,,,,
Sri Shreshta Udupi,https://www.zomato.com/Chennai/sri0shreshta0udupi0bellandur0Chennai,"North Indian, South Indian, Chinese, Street Food, Beverages, Ice Cream, Fast Food","Bellandur, Chennai",3.7,20,3.6,103,350,,,,
Dadaboudi Express,https://www.zomato.com/Chennai/dadaboudi0express0marathahalli0Chennai,"Bengali, Rolls","Marathahalli, Chennai",0,0,3.7,307,150,,,,
Keshari Sweets & Snacks,https://www.zomato.com/Chennai/keshari0sweets0snacks0whitefield0Chennai,"Mithai, Street Food","Whitefield, Chennai",0,0,3.5,70,50,,,,
Chole Bhatura And Parathas,https://www.zomato.com/Chennai/chole0bhatura0and0parathas0whitefield0Chennai,North Indian,"Whitefield, Chennai",0,0,3.8,359,250,,,,
Sri Ganesh Darshini,https://www.zomato.com/Chennai/sri0ganesh0darshini010airport0road0Chennai,"South Indian, Street Food, Chinese, Beverages, Juices","Old Airport Road, Chennai",3.7,8,3.9,130,200,,,,
Binge Food Factory,https://www.zomato.com/Chennai/binge0food0factory0bellandur0Chennai,"Continental, North Indian, South Indian, Fast Food","Bellandur, Chennai",0,0,4.1,132,150,,,,
Momo I am,https://www.zomato.com/Chennai/momo0i0am0bellandur0Chennai,"Momos, Tibetan","Bellandur, Chennai",0,0,4.2,249,300,,,,
Chainaama,https://www.zomato.com/Chennai/chainaama0whitefield0Chennai,"Tea, Beverages","Whitefield, Chennai",0,0,3.3,6,100,,,,
Veg Khana,https://www.zomato.com/Chennai/veg0khana0marathahalli0Chennai,"North Indian, Chinese","Marathahalli, Chennai",0,0,3.5,40,150,,,,
The Punjabi,https://www.zomato.com/Chennai/the0punjabi0bellandur,"North Indian, Chinese","Bellandur, Chennai",0,0,3.6,845,150,,,,
Meghans Kitchen,https://www.zomato.com/Chennai/meghans0kitchen0bellandur0Chennai,"North Indian, Chinese, Mughlai","Bellandur, Chennai",3.2,18,3.7,75,500,,,,
Infinity Family Restaurant,https://www.zomato.com/Chennai/infinity0family0restaurant0kaggadasapura0Chennai,"North Indian, Chinese, Seafood, Biryani","Kaggadasapura, Chennai",3.6,54,3.8,967,350,,,,
Pot Dum Biryani,https://www.zomato.com/Chennai/pot0dum0biryani030marathahalli0Chennai,"Biryani, Kebab","Marathahalli, Chennai",0,0,3.1,19,600,,,,
Noodle Bar,https://www.zomato.com/Chennai/noodle0bar0whitefield,"Chinese, Seafood, Thai, Momos, Beverages","Phoenix Marketcity Chennai, Whitefield, Chennai",4.1,1436,4.2,169,1400,,,,
